Server,Location,Type,REFERRED_TO_AS,SITE,User
ALAPPS,PRATTVILLE AL,APP,Prattville,5,PRAadmin
ALDATA,PRATTVILLE AL,DATA,Prattville,5,PRAadmin
ALDC03,,,,,
ALVEEAM01,,,,,
CAPPS,,,,,
CDATA-OLD,,,,,
CDCAPPS,,,,,
CDCDATA-OLD,,,,,
CHRVS,,,,,
CORPARCHIVE01,,,,,
CORPBIDS01,,,,,
CORPBIDS-OLD,,,,,
CORPDC01,,,,,
CORPDC02,,,,,
CORPDESIGN01,,,,,
CORPDEV01,,,,,
CORPDOCFLOW01,,,,,
CORPDOCMGT01,,,,,
CORPDOCOCR01,,,,,
CORPDOCSQL01,,,,,
CORPDUO01,,,,,
CORPDW01,,,,,
CORPFAS01,,,,,
CORPFPMGMT01,,,,,
CORPFPRPT01,,,,,
CORPFTP01,,,,,
CORPHQ01,,,,,
CORPINFOR01,,,,,
CORPIPUTILS01,,,,,
CORPLIC01,,,,,
CORPMDT01,,,,,
corpnas,,,,,
CORPNAS01,,,,,
CORPOPMANAGER01,,,,,
CORPPATCHMGMT,,,,,
CORPPDQ01,,,,,
CORPPHONE01,,,,,
CORPPRINT01,,,,,
CORPPROXY01,,,,,
CORPPROXY02,,,,,
CORPSAKURA01,,,,,
CORPSELFSER01,,,,,
CORPSQLBACKUP,,,,,
CORPSWNTA01,,,,,
CORPSWORION01,,,,,
CORPSWSQL01,,,,,
CORPSYSLOG01,,,,,
CORPTALEND01,,,,,
CORPTEST01,,,,,
CORPTESTING,,,,,
CORPTICKET01,,,,,
CORPVEEAM02,,,,,
CORPVEEAMEM,,,,,
CORPVEEAMENT,,,,,
CORPVEEAMONE,,,,,
CORPWEB01,Portal,APP,Portal,,MANadmin
CORPWEB01,Portal,Data,Portal,,MANadmin
CORPWIN08TEST,,,,,
CORPWIN12TEST,,,,,
CORPWIN12TEST2,,,,,
CORPWIN16TEST,,,,,
CORPWIN16TEST2,,,,,
CORPWIN19TEST,,,,,
CORPWIN19TEST2,,,,,
CORPWINSVC01,,,,,
CORPWSUS01,,,,,
CORPWSUS02,,,,,
CRVS,,,,,
CVEEAM01,,,,,
DR-VEEAM01,,,,,
DUBLINMAIN,,,,,
DUBNAS01,,,,,
DUBVEEAM01,,,,,
EXCHCAS,,,,,
IDFLV1,,,,,
IDFLV1-NEW,,,,,
ILCAPPS01,SMYRNA TN,APP,ILC,7,SMYadmin
ILCDATA01,SMYRNA TN,DATA,ILC,7,SMYadmin
ILCNAS01,,,,,
ILCVEEAM01,,,,,
KNASERV1,,,,,
KNASERV2,,,,,
MANCDAPPS01,MANCHESTER TN,APP,Cross-dock,8,MANadmin
MANCDDATA01,MANCHESTER TN,DATA,Cross-dock,8,MANadmin
MANCDDC01,,,,,
MANCDVEEAM01,,,,,
MANPROXY01,,,,,
MANSQLSRV01,,,,,
MANWSUS01,,,,,
MIDC01,,,,,
MIDC02,,,,,
MILIC01,,,,,
MINAS01,,,,,
MISERV,,,,,
MSDATA01,,,,,
MSDC01,,,,,
MSDC02,,,,,
MSDC03,,,,,
MSDC04,,,,,
MSIMAGE01,,,,,
MSKEPWARE01,,,,,
MSNAS01,,,,,
MSRFID01,,,,,
MSVEEAM01,,,,,
MSWSUS01,,,,,
MTEK_DATA_SVR,MANCHESTER TN,DATA,Manchester,1,MANAdmin 
MTEKEAM,,,,,
MTEKF9,,,,,
MTEKMDC,,,,,
MTEK-MS,MADISON MS,APP,Mississippi,4,MADadmin
MTEK-MSDATA,MADISON MS,DATA,Mississippi,4,MADadmin
MTEKPRINT,,,,,
MXSV22KMXREM01,,,,,
NOVVEEAM01,,,,,
NSAPPS,SMYRNA TN,APP,SLC,7,SMYadmin
NSDATA,SMYRNA TN,DATA,SLC,7,SMYadmin
NSDC01,,,,,
NSIMAGE01,,,,,
NSVEEAM01,,,,,
OHAPPSERVER,,,,,
OHBACKUPSVR,,,,,
OHDC01,,,,,
OHDC02,,,,,
OHENGRAPPS,,,,,
OHIO_DATA,UPPERSANDUSKY OH,APP,Ohio Upper etc,2,UPPadmin
OHIO_DATA2,UPPER SANDUSKY OH,DATA,Ohio Upper etc,2,UPPadmin
OHIOREWORK,,,,,
OHMATTEC1,,,,,
OHMATTEC2,,,,,
OHVEEAM01,,,,,
OHWSUS01,,,,,
OHWSUS02,,,,,
SAEVFCS1,,,,,
SAFILESVR1,,,,,
SANSTK1,,,,,
SAPPS,,,,,
SDATA,,,,,
SUPEDI,MURFREESBORO TN,APP,SupplierEDI,0,MANadmin
TALAPPS,TALLADEGA AL,APP,Talladega,6,TALadmin
TALDATA,TALLADEGA AL,DATA,Talladega,6,TALadmin 
TALDC01,,,,,
TALIMAGE,,,,,
TALKEPWARE01,,,,,
TALLIC01,,,,,
TALOCTANE,,,,,
TALOCTANE-NEW,,,,,
TALRFID01,,,,,
TALVEEAM01,,,,,
TALWINSVC01,,,,,
TNAPPS,MANCHESTER TN,APP,Manchester,1,MANAdmin
TNAPPS-NEW,,,,,
TNDC01,,,,,
TNDC02,,,,,
TNDC03,,,,,
TNKEPWARE01,,,,,
TNNAS01,,,,,
TNOCTANE01,,,,,
TNOCTANE01-NEW,,,,,
TNPRINT01,,,,,
TNRFID01,,,,,
TNVEEAM01,,,,,
TNWIMA01,,,,,
VEEAMPROXY01,,,,,
VEEAM-REP,,,,,
